"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings"
"Creative GalaxyEpisode: Pilot","tt3012540","http://www.imdb.com/title/tt3012540/",2013,7.2,17
"BetasEpisode: Pilot","tt3012184","http://www.imdb.com/title/tt3012184/",2013,6.9,505
"Alpha HouseEpisode: Pilot","tt3012160","http://www.imdb.com/title/tt3012160/",2013,7.1,954
"Ek Thi Daayan","tt2406676","http://www.imdb.com/title/tt2406676/",2013,5.6,2834
"All Is Bright","tt1462901","http://www.imdb.com/title/tt1462901/",2013,5.6,4154
"Lenny Cooke","tt2606924","http://www.imdb.com/title/tt2606924/",2013,6.5,195
"iSteve","tt2782834","http://www.imdb.com/title/tt2782834/",2013,5.4,972
"Devils of War","tt2675318","http://www.imdb.com/title/tt2675318/",2013,2,315
"Louis C.K. Oh My God","tt2510998","http://www.imdb.com/title/tt2510998/",2013,8.4,5036
"Into the White","tt1876277","http://www.imdb.com/title/tt1876277/",2012,7.2,13888
"42","tt0453562","http://www.imdb.com/title/tt0453562/",2013,7.5,62662
"To the Wonder","tt1595656","http://www.imdb.com/title/tt1595656/",2012,6,19206
"Disconnect","tt1433811","http://www.imdb.com/title/tt1433811/",2012,7.6,57092
"Pain & Gain","tt1980209","http://www.imdb.com/title/tt1980209/",2013,6.5,150835
